Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Frozen: Olaf's Quest,DS,2013,Platform,Disney Interactive Studios,0.28,0.35,0.0,0.06,0.69,Medio-Bajo
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.27,0.32,0.0,0.1,0.69,Medio-Bajo
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,Medio-Bajo
Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0.0,0.01,0.68,Medio-Bajo
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.68,Medio-Bajo
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.34,0.0,0.33,0.02,0.68,Medio-Bajo
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.6,0.03,0.0,0.05,0.68,Medio-Bajo
Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,Medio-Bajo
The Last Story,Wii,2011,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68,Medio-Bajo
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,Medio-Bajo
Iron Man,PS3,2008,Action,Sega,0.32,0.25,0.0,0.11,0.68,Medio-Bajo
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.21,0.36,0.0,0.11,0.68,Medio-Bajo
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68,Medio-Bajo
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,Medio-Bajo
Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,Medio-Bajo
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68,Medio-Bajo
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,Medio-Bajo
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,Medio-Bajo
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,Medio-Bajo
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68,Medio-Bajo
Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.32,0.0,0.34,0.02,0.68,Medio-Bajo
Mercenaries: Playground of Destruction,XB,2005,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,Medio-Bajo
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.22,0.33,0.0,0.13,0.68,Medio-Bajo
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0.0,0.06,0.68,Medio-Bajo
Bushido Blade 2,PS,1998,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,Medio-Bajo
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,Medio-Bajo
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.68,Medio-Bajo
Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.01,0.0,0.05,0.68,Medio-Bajo
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,Medio-Bajo
Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,0.19,0.43,0.0,0.05,0.68,Medio-Bajo
Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68,Medio-Bajo
Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,Medio-Bajo
Tourist Trophy: The Real Riding Simulator,PS2,2006,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,Medio-Bajo
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68,Medio-Bajo
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,Medio-Bajo
Country Dance,Wii,2011,Misc,Funbox Media,0.59,0.04,0.0,0.04,0.68,Medio-Bajo
Turok,PS3,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68,Medio-Bajo
Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,Medio-Bajo
100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,Medio-Bajo
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67,Medio-Bajo
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67,Medio-Bajo
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,Medio-Bajo
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.17,0.0,0.05,0.67,Medio-Bajo
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67,Medio-Bajo
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67,Medio-Bajo
Street Sk8er,PS,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,Medio-Bajo
Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,Adventure,Disney Interactive Studios,0.4,0.22,0.0,0.06,0.67,Medio-Bajo
Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,Medio-Bajo
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67,Medio-Bajo
Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,Medio-Bajo
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,Medio-Bajo
The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.49,0.13,0.0,0.05,0.67,Medio-Bajo
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,Medio-Bajo
Spice World,PS,1998,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,Medio-Bajo
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,Medio-Bajo
Armored Core 3,PS2,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,Medio-Bajo
Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.27,0.32,0.0,0.07,0.67,Medio-Bajo
Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,Medio-Bajo
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67,Medio-Bajo
Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,0.16,0.36,0.0,0.14,0.67,Medio-Bajo
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,Medio-Bajo
Ratatouille,PSP,2007,Action,THQ,0.22,0.28,0.0,0.16,0.67,Medio-Bajo
RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,Medio-Bajo
Wild ARMs 2,PS,1999,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,Medio-Bajo
Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,Medio-Bajo
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67,Medio-Bajo
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67,Medio-Bajo
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.23,0.33,0.0,0.11,0.67,Medio-Bajo
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0.0,0.08,0.67,Medio-Bajo
Crafting Mama,DS,2010,Simulation,505 Games,0.4,0.21,0.01,0.05,0.67,Medio-Bajo
007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67,Medio-Bajo
Rock Band 3,Wii,2010,Misc,MTV Games,0.56,0.06,0.0,0.05,0.67,Medio-Bajo
Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,Medio-Bajo
The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,0.33,0.25,0.0,0.09,0.67,Medio-Bajo
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,0.33,0.2,0.0,0.14,0.67,Medio-Bajo
Peppa Pig: Fun and Games,DS,2010,Misc,Ubisoft,0.0,0.58,0.0,0.09,0.67,Medio-Bajo
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,Medio-Bajo
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,Medio-Bajo
NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,Medio-Bajo
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67,Medio-Bajo
The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.53,0.0,0.12,0.67,Medio-Bajo
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,Medio-Bajo
Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,Medio-Bajo
NFL Street,XB,2004,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,Medio-Bajo
Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66,Medio-Bajo
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66,Medio-Bajo
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,0.55,0.02,0.0,0.09,0.66,Medio-Bajo
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,Medio-Bajo
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,Medio-Bajo
Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,Medio-Bajo
Darkstone,PS,2001,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,Medio-Bajo
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,Medio-Bajo
Finding Nemo,XB,2003,Action,THQ,0.48,0.16,0.0,0.02,0.66,Medio-Bajo
Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,Medio-Bajo
NHL 10,X360,2009,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,Medio-Bajo
Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,Medio-Bajo
Madagascar,GC,2005,Platform,Activision,0.52,0.13,0.0,0.02,0.66,Medio-Bajo
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,Medio-Bajo
Dragon Quest Monsters: Caravan Heart,GBA,2003,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,Medio-Bajo
Strawberry Shortcake: Summertime Adventure,GBA,2004,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,Medio-Bajo
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.38,0.0,0.14,0.66,Medio-Bajo
Rocksmith 2014,PC,2013,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66,Medio-Bajo
Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,Medio-Bajo
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,Medio-Bajo
Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.52,0.0,0.12,0.66,Medio-Bajo
Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66,Medio-Bajo
Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.66,Medio-Bajo
Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,0.27,0.25,0.0,0.14,0.66,Medio-Bajo
The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,Medio-Bajo
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.66,Medio-Bajo
Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66,Medio-Bajo
LEGO Marvel Super Heroes,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.15,0.35,0.0,0.16,0.66,Medio-Bajo
New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66,Medio-Bajo
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,Medio-Bajo
Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,Medio-Bajo
Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,Medio-Bajo
Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,Medio-Bajo
Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66,Medio-Bajo
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.49,0.14,0.0,0.02,0.66,Medio-Bajo
Madden NFL 10,PSP,2009,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,Medio-Bajo
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Action,Activision,0.23,0.27,0.0,0.16,0.66,Medio-Bajo
Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,Medio-Bajo
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66,Medio-Bajo
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.66,Medio-Bajo
Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,Medio-Bajo
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.38,0.22,0.0,0.06,0.65,Medio-Bajo
NHL 13,PS3,2012,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65,Medio-Bajo
Kung Fu Panda,PS2,2008,Action,Activision,0.24,0.0,0.0,0.41,0.65,Medio-Bajo
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.32,0.22,0.01,0.1,0.65,Medio-Bajo
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.05,0.65,Medio-Bajo
Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,Medio-Bajo
Radiata Stories,PS2,2005,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65,Medio-Bajo
F-Zero GX,GC,2003,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65,Medio-Bajo
Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,Medio-Bajo
Wall-E,PSP,2008,Platform,THQ,0.29,0.22,0.0,0.14,0.65,Medio-Bajo
Yoshi Topsy-Turvy,GBA,2004,Platform,Nintendo,0.25,0.09,0.3,0.01,0.65,Medio-Bajo
Up,DS,2009,Action,THQ,0.31,0.28,0.0,0.07,0.65,Medio-Bajo
Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,Medio-Bajo
Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,0.56,0.04,0.0,0.05,0.65,Medio-Bajo
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,0.47,0.17,0.0,0.01,0.65,Medio-Bajo
World of Dragon Warrior - Torneko: The Last Hope,PS,1999,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65,Medio-Bajo
Drawn to Life: The Next Chapter,DS,2009,Puzzle,THQ,0.45,0.14,0.0,0.06,0.65,Medio-Bajo
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.07,0.65,Medio-Bajo
Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,Medio-Bajo
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,Medio-Bajo
Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.31,0.03,0.27,0.03,0.65,Medio-Bajo
Centipede,PS,1998,Shooter,Atari,0.36,0.25,0.0,0.04,0.65,Medio-Bajo
Drakengard,PS2,2003,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65,Medio-Bajo
SingStar Pop Hits,PS2,2007,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,Medio-Bajo
Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65,Medio-Bajo
Champions: Return to Arms,PS2,2005,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,Medio-Bajo
Harry Potter and the Goblet of Fire,PS2,2005,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,Medio-Bajo
SingStar R&B,PS2,2007,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65,Medio-Bajo
Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65,Medio-Bajo
MX vs. ATV Untamed,PSP,2007,Racing,THQ,0.35,0.18,0.0,0.12,0.65,Medio-Bajo
Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.5,0.11,0.0,0.05,0.65,Medio-Bajo
Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65,Medio-Bajo
Star Ocean: First Departure,PSP,2007,Role-Playing,Square Enix,0.2,0.14,0.22,0.09,0.65,Medio-Bajo
Super Robot Taisen Impact,PS2,2002,Strategy,Banpresto,0.0,0.0,0.65,0.0,0.65,Medio-Bajo
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65,Medio-Bajo
The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.39,0.2,0.0,0.06,0.65,Medio-Bajo
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,Misc,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65,Medio-Bajo
Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.17,0.04,0.4,0.03,0.65,Medio-Bajo
Crysis 3,PC,2013,Shooter,Electronic Arts,0.17,0.39,0.0,0.09,0.64,Medio-Bajo
Paws & Claws: Pet Vet,DS,2007,Simulation,THQ,0.6,0.0,0.0,0.05,0.64,Medio-Bajo
Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.13,0.07,0.0,0.44,0.64,Medio-Bajo
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,Medio-Bajo
Diablo III,XOne,2014,Role-Playing,Activision,0.35,0.24,0.0,0.05,0.64,Medio-Bajo
Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,Medio-Bajo
Crash of the Titans,PSP,2007,Action,Vivendi Games,0.25,0.25,0.0,0.15,0.64,Medio-Bajo
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.31,0.0,0.13,0.64,Medio-Bajo
Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,Medio-Bajo
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,0.47,0.15,0.0,0.02,0.64,Medio-Bajo
Dragon Ball: Raging Blast 2,X360,2010,Fighting,Namco Bandai Games,0.49,0.09,0.01,0.05,0.64,Medio-Bajo
GoldenEye: Rogue Agent,PS2,2004,Shooter,Electronic Arts,0.54,0.02,0.0,0.09,0.64,Medio-Bajo
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64,Medio-Bajo
Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64,Medio-Bajo
XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64,Medio-Bajo
Rayman 3D,3DS,2011,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,Medio-Bajo
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0.0,0.1,0.64,Medio-Bajo
James Bond 007: Everything or Nothing,XB,2004,Shooter,Electronic Arts,0.43,0.19,0.0,0.02,0.64,Medio-Bajo
X2: Wolverine's Revenge,PS2,2003,Platform,Activision,0.31,0.24,0.0,0.08,0.64,Medio-Bajo
Stuntman: Ignition,X360,2007,Racing,THQ,0.25,0.32,0.0,0.07,0.64,Medio-Bajo
NBA Live 06,XB,2005,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64,Medio-Bajo
Dragon Age II,PC,2011,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64,Medio-Bajo
LEGO Star Wars II: The Original Trilogy,X360,2006,Action,LucasArts,0.55,0.04,0.0,0.05,0.64,Medio-Bajo
Tom Clancy's Rainbow Six,N64,1999,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,Medio-Bajo
Castlevania,N64,1999,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64,Medio-Bajo
Rayman 2: The Great Escape,N64,1999,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64,Medio-Bajo
The Lord of the Rings: Conquest,X360,2009,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.64,Medio-Bajo
TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,0.29,0.33,0.0,0.01,0.64,Medio-Bajo
Onimusha: Dawn of Dreams,PS2,2006,Action,Capcom,0.15,0.12,0.34,0.04,0.64,Medio-Bajo
NieR,PS3,2010,Role-Playing,Square Enix,0.17,0.2,0.2,0.07,0.64,Medio-Bajo
The Princess and the Frog,DS,2009,Platform,Disney Interactive Studios,0.41,0.17,0.0,0.06,0.64,Medio-Bajo
Sega Rally Revo,PS3,2007,Racing,Sega,0.07,0.43,0.0,0.14,0.64,Medio-Bajo
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64,Medio-Bajo
Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,Medio-Bajo
White Knight Chronicles II,PS3,2010,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64,Medio-Bajo
Wolfenstein,PS3,2009,Shooter,Activision,0.25,0.28,0.0,0.11,0.64,Medio-Bajo
Jampack Volume 13 (RP-T),PS2,2005,Misc,Sony Computer Entertainment,0.31,0.24,0.0,0.08,0.64,Medio-Bajo
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0.0,0.1,0.64,Medio-Bajo
Start the Party!,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.64,Medio-Bajo
Cruis'n World,N64,1998,Racing,Nintendo,0.59,0.04,0.0,0.01,0.64,Medio-Bajo
Madden NFL 2001,N64,2000,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64,Medio-Bajo
NBA Live 08,PS3,2007,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64,Medio-Bajo
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.12,0.0,0.05,0.64,Medio-Bajo
Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64,Medio-Bajo
Okami,Wii,2008,Action,Capcom,0.45,0.1,0.04,0.05,0.64,Medio-Bajo
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,Activision,0.31,0.24,0.0,0.08,0.64,Medio-Bajo
Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.33,0.01,0.1,0.64,Medio-Bajo
Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.59,0.0,0.0,0.04,0.64,Medio-Bajo
Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63,Medio-Bajo
X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63,Medio-Bajo
Nightmare Creatures,PS,1997,Action,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.63,Medio-Bajo
SingStar Queen,PS2,2009,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63,Medio-Bajo
Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0.0,0.06,0.63,Medio-Bajo
F1 2013,PS3,2013,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63,Medio-Bajo
Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,0.22,0.34,0.0,0.07,0.63,Medio-Bajo
Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,0.41,0.19,0.0,0.03,0.63,Medio-Bajo
Sim Theme Park,PS,1999,Strategy,Electronic Arts,0.35,0.24,0.0,0.04,0.63,Medio-Bajo
FIFA Soccer 2003,XB,2002,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63,Medio-Bajo
Ghostbusters: The Video Game,X360,2009,Action,Atari,0.43,0.14,0.0,0.06,0.63,Medio-Bajo
NASCAR 06: Total Team Control,PS2,2005,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63,Medio-Bajo
Tony Hawk's Project 8,PS3,2006,Sports,Activision,0.3,0.23,0.01,0.1,0.63,Medio-Bajo
Dogz,GBA,2004,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63,Medio-Bajo
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63,Medio-Bajo
Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0.0,0.1,0.63,Medio-Bajo
Iron Man,PSP,2008,Action,Sega,0.46,0.09,0.0,0.09,0.63,Medio-Bajo
